UserID,Trial_no,ab_ad_angle,ex_angle,Method,ObjectType,Block,best,lowerbound,upperbound,duration,MethodBlock,ObjectBlock,Repetition,ForceLevel
11,1,20.0,,inter-finger only,real,1,15.6,11.1,18.6,178.397,1,1,1,20
11,2,30.0,,inter-finger only,real,1,20.6,13.6,24.1,65.764,1,1,1,30
11,3,10.0,,inter-finger only,real,1,3.1,2.1,3.6,54.624,1,1,1,10
11,4,30.0,,inter-finger only,real,1,18.6,25.1,30.6,173.385,1,1,2,30
11,5,20.0,,inter-finger only,real,1,13.6,14.6,16.6,103.459,1,1,2,20
11,6,10.0,,inter-finger only,real,1,1.6,1.6,3.1,49.057,1,1,2,10
11,7,10.0,,inter-finger only,virtual,2,2.6,1.6,5.1,26.46,1,2,1,10
11,8,30.0,,inter-finger only,virtual,2,20.1,11.1,25.6,95.214,1,2,1,30
11,9,20.0,,inter-finger only,virtual,2,9.6,5.6,12.6,91.262,1,2,1,20
11,10,30.0,,inter-finger only,virtual,2,30.1,20.6,33.6,50.265,1,2,2,30
11,11,20.0,,inter-finger only,virtual,2,9.6,8.6,15.1,67.889,1,2,2,20
11,12,10.0,,inter-finger only,virtual,2,1.6,1.001,4.001,40.111,1,2,2,10
11,13,,38.0,extension only,virtual,3,20.6,12.6,30.6,34.25,2,1,1,20
11,14,,50.0,extension only,virtual,3,32.6,24.1,50,35.056,2,1,1,30
11,15,,25.0,extension only,virtual,3,15.6,11.1,20.6,22.308,2,1,1,10
11,16,,50.0,extension only,virtual,3,29.6,22.6,37.1,36.653,2,1,2,30
11,17,,25.0,extension only,virtual,3,15.6,7.1,18.6,39.098,2,1,2,10
11,18,,38.0,extension only,virtual,3,19.1,11.1,23.6,28.805,2,1,2,20
11,19,,25.0,extension only,real,4,13.1,11.6,15.1,34.264,2,2,1,10
11,20,,50.0,extension only,real,4,39.6,29.6,42.1,27.32,2,2,1,30
11,21,,38.0,extension only,real,4,23.1,18.6,26.1,24.124,2,2,1,20
11,22,,25.0,extension only,real,4,7.1,5.1,8.6,28.78,2,2,2,10
11,23,,50.0,extension only,real,4,33.6,29.6,36.6,23.32,2,2,2,30
11,24,,38.0,extension only,real,4,18.6,14.6,21.6,28.041,2,2,2,20
11,25,10.0,25.0,both,real,5,6.1,6.1,9.1,32.326,3,1,1,10
11,26,30.0,55.0,both,real,5,,,,,3,1,1,30
11,27,20.0,40.0,both,real,5,,,,,3,1,1,20
11,28,20.0,40.0,both,real,5,,,,,3,1,2,20
11,29,30.0,55.0,both,real,5,,,,,3,1,2,30
11,30,10.0,25.0,both,real,5,,,,,3,1,2,10
11,31,30.0,55.0,both,virtual,6,,,,,3,2,1,30
11,32,10.0,25.0,both,virtual,6,,,,,3,2,1,10
11,33,20.0,40.0,both,virtual,6,,,,,3,2,1,20
11,34,20.0,40.0,both,virtual,6,,,,,3,2,2,20
11,35,30.0,55.0,both,virtual,6,,,,,3,2,2,30
11,36,10.0,25.0,both,virtual,6,,,,,3,2,2,10
瑋,,,,,,,,,,,,,,
