UserID,Trial_no,ab_ad_angle,ex_angle,Method,ObjectType,Block,best,lowerbound,upperbound,duration,MethodBlock,ObjectBlock,Repetition,ForceLevel
1,1,,38.0,extension only,real,1,7.1,7.1,7.1,258.177,1,1,1,20
1,2,,50.0,extension only,real,1,17.6,17.6,17.6,99.723,1,1,1,30
1,3,,20.0,extension only,real,1,4.6,4.6,4.6,143.761,1,1,1,10
1,4,,38.0,extension only,real,1,10.6,10.6,10.6,25.791,1,1,2,20
1,5,,50.0,extension only,real,1,25.6,25.6,25.6,39.806,1,1,2,30
1,6,,20.0,extension only,real,1,4.1,4.1,4.1,23.681,1,1,2,10
1,7,,38.0,extension only,virtual,2,13.1,13.1,13.1,35.696,1,2,1,20
1,8,,50.0,extension only,virtual,2,17.1,17.1,17.1,30.528,1,2,1,30
1,9,,20.0,extension only,virtual,2,5.6,5.6,5.6,70.61,1,2,1,10
1,10,,38.0,extension only,virtual,2,8.1,8.1,8.1,31.555,1,2,2,20
1,11,,20.0,extension only,virtual,2,4.6,4.6,4.6,31.989,1,2,2,10
1,12,,50.0,extension only,virtual,2,20.1,20.1,20.1,76.291,1,2,2,30
1,13,10.0,25.0,both,virtual,3,,,,,2,1,1,10
1,14,20.0,40.0,both,virtual,3,,,,,2,1,1,20
1,15,30.0,55.0,both,virtual,3,,,,,2,1,1,30
1,16,30.0,55.0,both,virtual,3,,,,,2,1,2,30
1,17,20.0,40.0,both,virtual,3,,,,,2,1,2,20
1,18,10.0,25.0,both,virtual,3,,,,,2,1,2,10
1,19,10.0,25.0,both,real,4,,,,,2,2,1,10
1,20,20.0,40.0,both,real,4,,,,,2,2,1,20
1,21,30.0,55.0,both,real,4,,,,,2,2,1,30
1,22,20.0,40.0,both,real,4,,,,,2,2,2,20
1,23,30.0,55.0,both,real,4,,,,,2,2,2,30
1,24,10.0,25.0,both,real,4,,,,,2,2,2,10
1,25,10.0,,inter-finger only,vreal,5,2.1,2.1,2.1,43.891,3,1,1,10
1,26,20.0,,inter-finger only,vreal,5,6.1,6.1,6.1,49.082,3,1,1,20
1,27,30.0,,inter-finger only,vreal,5,14.6,14.6,14.6,47.831,3,1,1,30
1,28,10.0,,inter-finger only,vreal,5,2.1,2.1,2.1,37.442,3,1,2,10
1,29,30.0,,inter-finger only,vreal,5,13.1,13.1,13.1,38.266,3,1,2,30
1,30,20.0,,inter-finger only,vreal,5,8.1,8.1,8.1,50.695,3,1,2,20
1,31,20.0,,inter-finger only,rvirtual,6,9.1,9.1,9.1,34.807,3,2,1,20
1,32,30.0,,inter-finger only,rvirtual,6,14.1,14.1,14.1,50.887,3,2,1,30
1,33,10.0,,inter-finger only,rvirtual,6,1.6,1.6,1.6,52.432,3,2,1,10
1,34,30.0,,inter-finger only,rvirtual,6,12.1,12.1,12.1,38.486,3,2,2,30
1,35,10.0,,inter-finger only,rvirtual,6,1.6,1.6,1.6,34.568,3,2,2,10
1,36,20.0,,inter-finger only,rvirtual,6,7.1,7.1,7.1,45.444,3,2,2,20
