UserID,Trial_no,k,Method,ObjectType,Repitition,Block,best,lowerbound,upperbound,duration,MethodBlock,ObjectBlock
3,1,s,inter-finger only,real hard ball,1,1,,,,,1,1
3,2,m,inter-finger only,real hard ball,1,1,,,,,1,1
3,3,h,inter-finger only,real hard ball,1,1,,,,,1,1
3,4,h,inter-finger only,real hard ball,2,1,,,,,1,1
3,5,m,inter-finger only,real hard ball,2,1,,,,,1,1
3,6,s,inter-finger only,real hard ball,2,1,,,,,1,1
3,7,s,inter-finger only,virtual,1,2,,,,,1,2
3,8,m,inter-finger only,virtual,1,2,,,,,1,2
3,9,h,inter-finger only,virtual,1,2,,,,,1,2
3,10,s,inter-finger only,virtual,2,2,,,,,1,2
3,11,m,inter-finger only,virtual,2,2,,,,,1,2
3,12,h,inter-finger only,virtual,2,2,,,,,1,2
3,13,m,inter-finger only,real soft ball,1,3,,,,,1,3
3,14,s,inter-finger only,real soft ball,1,3,,,,,1,3
3,15,h,inter-finger only,real soft ball,1,3,,,,,1,3
3,16,h,inter-finger only,real soft ball,2,3,,,,,1,3
3,17,s,inter-finger only,real soft ball,2,3,,,,,1,3
3,18,m,inter-finger only,real soft ball,2,3,,,,,1,3
3,19,m,extension only,real hard ball,1,4,,,,,2,1
3,20,h,extension only,real hard ball,1,4,,,,,2,1
3,21,s,extension only,real hard ball,1,4,,,,,2,1
3,22,h,extension only,real hard ball,2,4,,,,,2,1
3,23,s,extension only,real hard ball,2,4,,,,,2,1
3,24,m,extension only,real hard ball,2,4,,,,,2,1
3,25,h,extension only,real soft ball,1,5,,,,,2,2
3,26,s,extension only,real soft ball,1,5,,,,,2,2
3,27,m,extension only,real soft ball,1,5,,,,,2,2
3,28,h,extension only,real soft ball,2,5,,,,,2,2
3,29,s,extension only,real soft ball,2,5,,,,,2,2
3,30,m,extension only,real soft ball,2,5,,,,,2,2
3,31,h,extension only,virtual,1,6,,,,,2,3
3,32,s,extension only,virtual,1,6,,,,,2,3
3,33,m,extension only,virtual,1,6,,,,,2,3
3,34,m,extension only,virtual,2,6,,,,,2,3
3,35,h,extension only,virtual,2,6,,,,,2,3
3,36,s,extension only,virtual,2,6,,,,,2,3
3,37,m,both,real soft ball,1,7,,,,,3,1
3,38,h,both,real soft ball,1,7,,,,,3,1
3,39,s,both,real soft ball,1,7,,,,,3,1
3,40,s,both,real soft ball,2,7,,,,,3,1
3,41,m,both,real soft ball,2,7,,,,,3,1
3,42,h,both,real soft ball,2,7,,,,,3,1
3,43,m,both,virtual,1,8,,,,,3,2
3,44,h,both,virtual,1,8,,,,,3,2
3,45,s,both,virtual,1,8,,,,,3,2
3,46,m,both,virtual,2,8,,,,,3,2
3,47,h,both,virtual,2,8,,,,,3,2
3,48,s,both,virtual,2,8,,,,,3,2
3,49,m,both,real hard ball,1,9,,,,,3,3
3,50,s,both,real hard ball,1,9,,,,,3,3
3,51,h,both,real hard ball,1,9,,,,,3,3
3,52,h,both,real hard ball,2,9,,,,,3,3
3,53,m,both,real hard ball,2,9,,,,,3,3
3,54,s,both,real hard ball,2,9,,,,,3,3
