UserID,Trial_no,k,Method,ObjectType,Repitition,Block,best,lowerbound,upperbound,duration,MethodBlock,ObjectBlock
9,1,s,inter-finger only,real hard ball,1,1,,,,,1,1
9,2,m,inter-finger only,real hard ball,1,1,,,,,1,1
9,3,h,inter-finger only,real hard ball,1,1,,,,,1,1
9,4,h,inter-finger only,real hard ball,2,1,,,,,1,1
9,5,m,inter-finger only,real hard ball,2,1,,,,,1,1
9,6,s,inter-finger only,real hard ball,2,1,,,,,1,1
9,7,m,inter-finger only,virtual,1,2,,,,,1,2
9,8,h,inter-finger only,virtual,1,2,,,,,1,2
9,9,s,inter-finger only,virtual,1,2,,,,,1,2
9,10,m,inter-finger only,virtual,2,2,,,,,1,2
9,11,s,inter-finger only,virtual,2,2,,,,,1,2
9,12,h,inter-finger only,virtual,2,2,,,,,1,2
9,13,m,inter-finger only,real soft ball,1,3,,,,,1,3
9,14,h,inter-finger only,real soft ball,1,3,,,,,1,3
9,15,s,inter-finger only,real soft ball,1,3,,,,,1,3
9,16,m,inter-finger only,real soft ball,2,3,,,,,1,3
9,17,s,inter-finger only,real soft ball,2,3,,,,,1,3
9,18,h,inter-finger only,real soft ball,2,3,,,,,1,3
9,19,m,extension only,real hard ball,1,4,,,,,2,1
9,20,s,extension only,real hard ball,1,4,,,,,2,1
9,21,h,extension only,real hard ball,1,4,,,,,2,1
9,22,s,extension only,real hard ball,2,4,,,,,2,1
9,23,m,extension only,real hard ball,2,4,,,,,2,1
9,24,h,extension only,real hard ball,2,4,,,,,2,1
9,25,s,extension only,real soft ball,1,5,,,,,2,2
9,26,h,extension only,real soft ball,1,5,,,,,2,2
9,27,m,extension only,real soft ball,1,5,,,,,2,2
9,28,m,extension only,real soft ball,2,5,,,,,2,2
9,29,s,extension only,real soft ball,2,5,,,,,2,2
9,30,h,extension only,real soft ball,2,5,,,,,2,2
9,31,h,extension only,virtual,1,6,,,,,2,3
9,32,m,extension only,virtual,1,6,,,,,2,3
9,33,s,extension only,virtual,1,6,,,,,2,3
9,34,s,extension only,virtual,2,6,,,,,2,3
9,35,h,extension only,virtual,2,6,,,,,2,3
9,36,m,extension only,virtual,2,6,,,,,2,3
9,37,m,both,real soft ball,1,7,,,,,3,1
9,38,h,both,real soft ball,1,7,,,,,3,1
9,39,s,both,real soft ball,1,7,,,,,3,1
9,40,s,both,real soft ball,2,7,,,,,3,1
9,41,h,both,real soft ball,2,7,,,,,3,1
9,42,m,both,real soft ball,2,7,,,,,3,1
9,43,m,both,virtual,1,8,,,,,3,2
9,44,s,both,virtual,1,8,,,,,3,2
9,45,h,both,virtual,1,8,,,,,3,2
9,46,m,both,virtual,2,8,,,,,3,2
9,47,h,both,virtual,2,8,,,,,3,2
9,48,s,both,virtual,2,8,,,,,3,2
9,49,s,both,real hard ball,1,9,,,,,3,3
9,50,h,both,real hard ball,1,9,,,,,3,3
9,51,m,both,real hard ball,1,9,,,,,3,3
9,52,s,both,real hard ball,2,9,,,,,3,3
9,53,h,both,real hard ball,2,9,,,,,3,3
9,54,m,both,real hard ball,2,9,,,,,3,3
