UserID,Trial_no,k,Method,ObjectType,Repitition,Block,best,lowerbound,upperbound,duration,MethodBlock,ObjectBlock
2,1,h,extension only,virtual,1,1,5,5,5,142.772,1,1
2,2,m,extension only,virtual,1,1,,,,,1,1
2,3,s,extension only,virtual,1,1,,,,,1,1
2,4,h,extension only,virtual,2,1,,,,,1,1
2,5,m,extension only,virtual,2,1,,,,,1,1
2,6,s,extension only,virtual,2,1,,,,,1,1
2,7,m,extension only,real soft ball,1,2,,,,,1,2
2,8,h,extension only,real soft ball,1,2,,,,,1,2
2,9,s,extension only,real soft ball,1,2,,,,,1,2
2,10,s,extension only,real soft ball,2,2,,,,,1,2
2,11,h,extension only,real soft ball,2,2,,,,,1,2
2,12,m,extension only,real soft ball,2,2,,,,,1,2
2,13,s,extension only,real hard ball,1,3,,,,,1,3
2,14,m,extension only,real hard ball,1,3,,,,,1,3
2,15,h,extension only,real hard ball,1,3,,,,,1,3
2,16,h,extension only,real hard ball,2,3,,,,,1,3
2,17,s,extension only,real hard ball,2,3,,,,,1,3
2,18,m,extension only,real hard ball,2,3,,,,,1,3
2,19,m,inter-finger only,real hard ball,1,4,,,,,2,1
2,20,s,inter-finger only,real hard ball,1,4,,,,,2,1
2,21,h,inter-finger only,real hard ball,1,4,,,,,2,1
2,22,m,inter-finger only,real hard ball,2,4,,,,,2,1
2,23,s,inter-finger only,real hard ball,2,4,,,,,2,1
2,24,h,inter-finger only,real hard ball,2,4,,,,,2,1
2,25,s,inter-finger only,virtual,1,5,,,,,2,2
2,26,m,inter-finger only,virtual,1,5,,,,,2,2
2,27,h,inter-finger only,virtual,1,5,,,,,2,2
2,28,h,inter-finger only,virtual,2,5,,,,,2,2
2,29,m,inter-finger only,virtual,2,5,,,,,2,2
2,30,s,inter-finger only,virtual,2,5,,,,,2,2
2,31,m,inter-finger only,real soft ball,1,6,,,,,2,3
2,32,h,inter-finger only,real soft ball,1,6,,,,,2,3
2,33,s,inter-finger only,real soft ball,1,6,,,,,2,3
2,34,m,inter-finger only,real soft ball,2,6,,,,,2,3
2,35,s,inter-finger only,real soft ball,2,6,,,,,2,3
2,36,h,inter-finger only,real soft ball,2,6,,,,,2,3
2,37,h,both,real hard ball,1,7,,,,,3,1
2,38,m,both,real hard ball,1,7,,,,,3,1
2,39,s,both,real hard ball,1,7,,,,,3,1
2,40,s,both,real hard ball,2,7,,,,,3,1
2,41,m,both,real hard ball,2,7,,,,,3,1
2,42,h,both,real hard ball,2,7,,,,,3,1
2,43,s,both,real soft ball,1,8,,,,,3,2
2,44,h,both,real soft ball,1,8,,,,,3,2
2,45,m,both,real soft ball,1,8,,,,,3,2
2,46,m,both,real soft ball,2,8,,,,,3,2
2,47,s,both,real soft ball,2,8,,,,,3,2
2,48,h,both,real soft ball,2,8,,,,,3,2
2,49,s,both,virtual,1,9,,,,,3,3
2,50,h,both,virtual,1,9,,,,,3,3
2,51,m,both,virtual,1,9,,,,,3,3
2,52,h,both,virtual,2,9,,,,,3,3
2,53,m,both,virtual,2,9,,,,,3,3
2,54,s,both,virtual,2,9,,,,,3,3
