UserID,Trial_no,k,Method,ObjectType,Repitition,Block,best,lowerbound,upperbound,duration,MethodBlock,ObjectBlock
6,1,s,extension only,real soft ball,1,1,,,,,1,1
6,2,m,extension only,real soft ball,1,1,,,,,1,1
6,3,h,extension only,real soft ball,1,1,,,,,1,1
6,4,s,extension only,real soft ball,2,1,,,,,1,1
6,5,m,extension only,real soft ball,2,1,,,,,1,1
6,6,h,extension only,real soft ball,2,1,,,,,1,1
6,7,s,extension only,real hard ball,1,2,,,,,1,2
6,8,m,extension only,real hard ball,1,2,,,,,1,2
6,9,h,extension only,real hard ball,1,2,,,,,1,2
6,10,m,extension only,real hard ball,2,2,,,,,1,2
6,11,s,extension only,real hard ball,2,2,,,,,1,2
6,12,h,extension only,real hard ball,2,2,,,,,1,2
6,13,s,extension only,virtual,1,3,,,,,1,3
6,14,m,extension only,virtual,1,3,,,,,1,3
6,15,h,extension only,virtual,1,3,,,,,1,3
6,16,m,extension only,virtual,2,3,,,,,1,3
6,17,h,extension only,virtual,2,3,,,,,1,3
6,18,s,extension only,virtual,2,3,,,,,1,3
6,19,h,inter-finger only,virtual,1,4,,,,,2,1
6,20,m,inter-finger only,virtual,1,4,,,,,2,1
6,21,s,inter-finger only,virtual,1,4,,,,,2,1
6,22,h,inter-finger only,virtual,2,4,,,,,2,1
6,23,m,inter-finger only,virtual,2,4,,,,,2,1
6,24,s,inter-finger only,virtual,2,4,,,,,2,1
6,25,m,inter-finger only,real hard ball,1,5,,,,,2,2
6,26,h,inter-finger only,real hard ball,1,5,,,,,2,2
6,27,s,inter-finger only,real hard ball,1,5,,,,,2,2
6,28,s,inter-finger only,real hard ball,2,5,,,,,2,2
6,29,h,inter-finger only,real hard ball,2,5,,,,,2,2
6,30,m,inter-finger only,real hard ball,2,5,,,,,2,2
6,31,s,inter-finger only,real soft ball,1,6,,,,,2,3
6,32,h,inter-finger only,real soft ball,1,6,,,,,2,3
6,33,m,inter-finger only,real soft ball,1,6,,,,,2,3
6,34,m,inter-finger only,real soft ball,2,6,,,,,2,3
6,35,h,inter-finger only,real soft ball,2,6,,,,,2,3
6,36,s,inter-finger only,real soft ball,2,6,,,,,2,3
6,37,h,both,virtual,1,7,,,,,3,1
6,38,s,both,virtual,1,7,,,,,3,1
6,39,m,both,virtual,1,7,,,,,3,1
6,40,m,both,virtual,2,7,,,,,3,1
6,41,h,both,virtual,2,7,,,,,3,1
6,42,s,both,virtual,2,7,,,,,3,1
6,43,m,both,real soft ball,1,8,,,,,3,2
6,44,s,both,real soft ball,1,8,,,,,3,2
6,45,h,both,real soft ball,1,8,,,,,3,2
6,46,s,both,real soft ball,2,8,,,,,3,2
6,47,h,both,real soft ball,2,8,,,,,3,2
6,48,m,both,real soft ball,2,8,,,,,3,2
6,49,h,both,real hard ball,1,9,,,,,3,3
6,50,m,both,real hard ball,1,9,,,,,3,3
6,51,s,both,real hard ball,1,9,,,,,3,3
6,52,m,both,real hard ball,2,9,,,,,3,3
6,53,h,both,real hard ball,2,9,,,,,3,3
6,54,s,both,real hard ball,2,9,,,,,3,3
