UserID,Trial_no,k,Method,ObjectType,Repitition,Block,best,lowerbound,upperbound,duration,MethodBlock,ObjectBlock
12,1,s,extension only,real soft ball,1,1,,,,,1,1
12,2,m,extension only,real soft ball,1,1,,,,,1,1
12,3,h,extension only,real soft ball,1,1,,,,,1,1
12,4,s,extension only,real soft ball,2,1,,,,,1,1
12,5,m,extension only,real soft ball,2,1,,,,,1,1
12,6,h,extension only,real soft ball,2,1,,,,,1,1
12,7,s,extension only,real hard ball,1,2,,,,,1,2
12,8,m,extension only,real hard ball,1,2,,,,,1,2
12,9,h,extension only,real hard ball,1,2,,,,,1,2
12,10,m,extension only,real hard ball,2,2,,,,,1,2
12,11,h,extension only,real hard ball,2,2,,,,,1,2
12,12,s,extension only,real hard ball,2,2,,,,,1,2
12,13,s,extension only,virtual,1,3,,,,,1,3
12,14,h,extension only,virtual,1,3,,,,,1,3
12,15,m,extension only,virtual,1,3,,,,,1,3
12,16,h,extension only,virtual,2,3,,,,,1,3
12,17,s,extension only,virtual,2,3,,,,,1,3
12,18,m,extension only,virtual,2,3,,,,,1,3
12,19,m,inter-finger only,virtual,1,4,,,,,2,1
12,20,h,inter-finger only,virtual,1,4,,,,,2,1
12,21,s,inter-finger only,virtual,1,4,,,,,2,1
12,22,m,inter-finger only,virtual,2,4,,,,,2,1
12,23,s,inter-finger only,virtual,2,4,,,,,2,1
12,24,h,inter-finger only,virtual,2,4,,,,,2,1
12,25,h,inter-finger only,real hard ball,1,5,,,,,2,2
12,26,s,inter-finger only,real hard ball,1,5,,,,,2,2
12,27,m,inter-finger only,real hard ball,1,5,,,,,2,2
12,28,h,inter-finger only,real hard ball,2,5,,,,,2,2
12,29,s,inter-finger only,real hard ball,2,5,,,,,2,2
12,30,m,inter-finger only,real hard ball,2,5,,,,,2,2
12,31,h,inter-finger only,real soft ball,1,6,,,,,2,3
12,32,s,inter-finger only,real soft ball,1,6,,,,,2,3
12,33,m,inter-finger only,real soft ball,1,6,,,,,2,3
12,34,m,inter-finger only,real soft ball,2,6,,,,,2,3
12,35,h,inter-finger only,real soft ball,2,6,,,,,2,3
12,36,s,inter-finger only,real soft ball,2,6,,,,,2,3
12,37,m,both,virtual,1,7,,,,,3,1
12,38,s,both,virtual,1,7,,,,,3,1
12,39,h,both,virtual,1,7,,,,,3,1
12,40,h,both,virtual,2,7,,,,,3,1
12,41,s,both,virtual,2,7,,,,,3,1
12,42,m,both,virtual,2,7,,,,,3,1
12,43,m,both,real soft ball,1,8,,,,,3,2
12,44,s,both,real soft ball,1,8,,,,,3,2
12,45,h,both,real soft ball,1,8,,,,,3,2
12,46,m,both,real soft ball,2,8,,,,,3,2
12,47,h,both,real soft ball,2,8,,,,,3,2
12,48,s,both,real soft ball,2,8,,,,,3,2
12,49,s,both,real hard ball,1,9,,,,,3,3
12,50,h,both,real hard ball,1,9,,,,,3,3
12,51,m,both,real hard ball,1,9,,,,,3,3
12,52,h,both,real hard ball,2,9,,,,,3,3
12,53,s,both,real hard ball,2,9,,,,,3,3
12,54,m,both,real hard ball,2,9,,,,,3,3
