UserID,Trial_no,ab_ad_angle,ex_angle,Method,ObjectType,Block,Size Change(%),lowerbound,upperbound,duration,MethodBlock,ObjectBlock,Repetition,AngleChange,best
1,1,,10.0,extension only,real,1,20,1,50,106.621,1,1,1,20,79
1,2,,-3.0,extension only,real,1,-10,1,1,128.675,1,1,1,-10,-9
1,3,,-10.0,extension only,real,1,-20,1,1,123.192,1,1,1,-20,-44
1,4,,3.0,extension only,real,1,10,22,22,33.263,1,1,1,10,22
1,5,,-10.0,extension only,real,1,-20,1,1,43.054,1,1,2,-20,1
1,6,,-3.0,extension only,real,1,-10,1,1,22.887,1,1,2,-10,1
1,7,,3.0,extension only,real,1,10,21,21,25.943,1,1,2,10,21
1,8,,10.0,extension only,real,1,20,86,86,89.872,1,1,2,20,86
1,9,,3.0,extension only,virtual,2,10,17,17,45.97,1,2,1,10,17
1,10,,-10.0,extension only,virtual,2,-20,-4,-4,58.511,1,2,1,-20,-4
1,11,,-3.0,extension only,virtual,2,-10,1,1,11.123,1,2,1,-10,1
1,12,,10.0,extension only,virtual,2,20,89,89,76.499,1,2,1,20,89
1,13,,3.0,extension only,virtual,2,10,16,16,29.846,1,2,2,10,16
1,14,,-3.0,extension only,virtual,2,-10,1,1,8.776,1,2,2,-10,1
1,15,,-10.0,extension only,virtual,2,-20,1,1,9.791,1,2,2,-20,1
1,16,,10.0,extension only,virtual,2,20,91,91,,1,2,2,20,91
1,17,-10.0,-3.0,both,virtual,3,-10,1,1,29.394,2,1,1,-10,1
1,18,20.0,8.0,both,virtual,3,20,,,,2,1,1,20,
1,19,-20.0,-8.0,both,virtual,3,-20,,,,2,1,1,-20,
1,20,10.0,3.0,both,virtual,3,10,,,,2,1,1,10,
1,21,-20.0,-8.0,both,virtual,3,-20,,,,2,1,2,-20,
1,22,10.0,3.0,both,virtual,3,10,,,,2,1,2,10,
1,23,20.0,8.0,both,virtual,3,20,,,,2,1,2,20,
1,24,-10.0,-3.0,both,virtual,3,-10,,,,2,1,2,-10,
1,3,-10.0,-3.0,both,real,4,-10,,,,2,2,1,-10,
1,26,10.0,3.0,both,real,4,10,,,,2,2,1,10,
1,27,-20.0,-8.0,both,real,4,-20,,,,2,2,1,-20,
1,28,20.0,8.0,both,real,4,20,,,,2,2,1,20,
1,29,-10.0,-3.0,both,real,4,-10,,,,2,2,2,-10,
1,30,-20.0,-8.0,both,real,4,-20,,,,2,2,2,-20,
1,31,20.0,8.0,both,real,4,20,,,,2,2,2,20,
1,32,10.0,3.0,both,real,4,10,,,,2,2,2,10,
1,33,10.0,,inter-finger only,real,5,10,11,11,341.171,3,1,1,10,11
1,34,-20.0,,inter-finger only,real,5,-20,-27,-27,54.042,3,1,1,-20,-27
1,35,20.0,,inter-finger only,real,5,20,52,52,72.096,3,1,1,20,52
1,36,-10.0,,inter-finger only,real,5,-10,-9,-9,62.72,3,1,1,-10,-9
1,37,-20.0,,inter-finger only,real,5,-20,-25,-25,43.956,3,1,2,-20,-25
1,38,20.0,,inter-finger only,real,5,20,41,41,46.01,3,1,2,20,41
1,39,-10.0,,inter-finger only,real,5,-10,-8,-8,54.528,3,1,2,-10,-8
1,10,10.0,,inter-finger only,real,5,10,11,11,64.338,3,1,2,10,11
1,41,-10.0,,inter-finger only,virtual,6,-10,-12,-12,217.371,3,2,1,-10,-12
1,42,-20.0,,inter-finger only,virtual,6,-20,-34,-34,51.765,3,2,1,-20,-34
1,43,20.0,,inter-finger only,virtual,6,20,83,83,66.965,3,2,1,20,83
1,44,10.0,,inter-finger only,virtual,6,10,27,27,101.55,3,2,1,10,27
1,45,10.0,,inter-finger only,virtual,6,10,37,37,131.053,3,2,2,10,37
1,46,20.0,,inter-finger only,virtual,6,20,86,86,25.136,3,2,2,20,86
1,47,-20.0,,inter-finger only,virtual,6,-20,-34,-34,33.159,3,2,2,-20,-34
1,48,-10.0,,inter-finger only,virtual,6,-10,-15,-15,,3,2,2,-10,-15
