UserID,Trial_no,ab_ad_angle,ex_angle,Method,ObjectType,Block,Size Change(%),lowerbound,upperbound,duration,MethodBlock,ObjectBlock,Repetition,AngleChange,best
12,1,20.0,40.0,both,virtual,1,20,1,1,13.513,1,1,1,20,1
12,2,10.0,25.0,both,virtual,1,10,,,,1,1,1,10,
12,3,-10.0,-25.0,both,virtual,1,-10,,,,1,1,1,-10,
12,4,-20.0,-40.0,both,virtual,1,-20,,,,1,1,1,-20,
12,5,20.0,40.0,both,virtual,1,20,,,,1,1,2,20,
12,6,10.0,25.0,both,virtual,1,10,,,,1,1,2,10,
12,7,-10.0,-25.0,both,virtual,1,-10,,,,1,1,2,-10,
12,8,-20.0,-40.0,both,virtual,1,-20,,,,1,1,2,-20,
12,9,-20.0,-40.0,both,real,2,-20,,,,1,2,1,-20,
12,10,20.0,40.0,both,real,2,20,,,,1,2,1,20,
12,11,10.0,25.0,both,real,2,10,,,,1,2,1,10,
12,12,-10.0,-25.0,both,real,2,-10,,,,1,2,1,-10,
12,13,20.0,40.0,both,real,2,20,,,,1,2,2,20,
12,14,-20.0,-40.0,both,real,2,-20,,,,1,2,2,-20,
12,15,-10.0,-25.0,both,real,2,-10,,,,1,2,2,-10,
12,16,10.0,25.0,both,real,2,10,,,,1,2,2,10,
12,17,,-40.0,extension only,real,3,-20,0,0,189.518,2,1,1,-20,0
12,18,,25.0,extension only,real,3,10,20,38,86.429,2,1,1,10,27
12,19,,40.0,extension only,real,3,20,24,38,23.205,2,1,1,20,31
12,20,,-25.0,extension only,real,3,-10,-9,-3,64.289,2,1,1,-10,-6
12,21,,20.0,extension only,real,3,10,,,,2,1,2,10,
12,22,,38.0,extension only,real,3,20,,,,2,1,2,20,
12,23,,-40.0,extension only,real,3,-20,,,,2,1,2,-20,
12,24,,-25.0,extension only,real,3,-10,,,,2,1,2,-10,
12,25,,-40.0,extension only,virtual,4,-20,,,,2,2,1,-20,
12,26,,38.0,extension only,virtual,4,20,,,,2,2,1,20,
12,27,,-25.0,extension only,virtual,4,-10,,,,2,2,1,-10,
12,28,,20.0,extension only,virtual,4,10,,,,2,2,1,10,
12,29,,20.0,extension only,virtual,4,10,,,,2,2,2,10,
12,30,,38.0,extension only,virtual,4,20,,,,2,2,2,20,
12,31,,-40.0,extension only,virtual,4,-20,,,,2,2,2,-20,
12,32,,-25.0,extension only,virtual,4,-10,,,,2,2,2,-10,
12,33,10.0,,inter-finger only,virtual,5,10,,,,3,1,1,10,
12,34,-20.0,,inter-finger only,virtual,5,-20,,,,3,1,1,-20,
12,35,20.0,,inter-finger only,virtual,5,20,,,,3,1,1,20,
12,36,-10.0,,inter-finger only,virtual,5,-10,,,,3,1,1,-10,
12,37,-10.0,,inter-finger only,virtual,5,-10,,,,3,1,2,-10,
12,38,-20.0,,inter-finger only,virtual,5,-20,,,,3,1,2,-20,
12,39,10.0,,inter-finger only,virtual,5,10,,,,3,1,2,10,
12,40,20.0,,inter-finger only,virtual,5,20,,,,3,1,2,20,
12,41,20.0,,inter-finger only,real,6,20,,,,3,2,1,20,
12,42,10.0,,inter-finger only,real,6,10,,,,3,2,1,10,
12,43,-10.0,,inter-finger only,real,6,-10,,,,3,2,1,-10,
12,44,-20.0,,inter-finger only,real,6,-20,,,,3,2,1,-20,
12,45,-20.0,,inter-finger only,real,6,-20,,,,3,2,2,-20,
12,46,10.0,,inter-finger only,real,6,10,,,,3,2,2,10,
12,47,20.0,,inter-finger only,real,6,20,,,,3,2,2,20,
12,48,-10.0,,inter-finger only,real,6,-10,,,,3,2,2,-10,
