UserID,Trial_no,ab_ad_angle,ex_angle,Method,ObjectType,Block,Size Change(%),lowerbound,upperbound,duration,MethodBlock,ObjectBlock,Repetition,AngleChange,best
10,1,-10.0,,inter-finger only,virtual,1,10,-20,-9,129.647,1,1,1,10,-12 !r
10,2,-20.0,,inter-finger only,virtual,1,-20,-33,-15,45.428,1,1,1,-20,-24 !r
10,3,-10.0,,inter-finger only,virtual,1,-10,-49,-28,66.637,1,1,1,-10,-41 !v
10,4,-20.0,,inter-finger only,virtual,1,20,,,68.593,1,1,1,20,-55 !v
10,5,20.0,,inter-finger only,virtual,1,20,104,158,65.388,1,1,2,20,128
10,6,10.0,,inter-finger only,virtual,1,10,40,65,76.275,1,1,2,10,47
10,7,-10.0,,inter-finger only,virtual,1,-10,-34,-7,62.831,1,1,2,-10,-21
10,8,-20.0,,inter-finger only,virtual,1,-20,-24,-10,89.093,1,1,2,-20,-18 ! **4
10,9,20.0,,inter-finger only,real,2,20,31,61,126.08,1,2,1,20,61
10,10,-10.0,,inter-finger only,real,2,-10,-27,-11,71.331,1,2,1,-10,-11
10,11,-20.0,,inter-finger only,real,2,-20,-49,-15,44.972,1,2,1,-20,-34 !
10,12,10.0,,inter-finger only,real,2,10,21,35,74.844,1,2,1,10,31
10,13,-10.0,,inter-finger only,real,2,-10,-41,-24,49.939,1,2,2,-10,-34 **1
10,14,-20.0,,inter-finger only,real,2,-20,-56,-40,57.971,1,2,2,-20,-45
10,15,20.0,,inter-finger only,real,2,20,56,95,62.984,1,2,2,20,73
10,16,10.0,,inter-finger only,real,2,10,29,76,177.147,1,2,2,10,41
10,17,,40.0,extension only,real,3,20,1,1,41.855,2,1,1,20,1
10,18,,-25.0,extension only,real,3,-10,1,1,17.164,2,1,1,-10,1
10,19,,25.0,extension only,real,3,10,1,1,26.509,2,1,1,10,1
10,20,,-40.0,extension only,real,3,-20,1,1,12.582,2,1,1,-20,1
10,21,,-40.0,extension only,real,3,-20,1,1,15.176,2,1,2,-20,1
10,22,,25.0,extension only,real,3,10,1,1,9.754,2,1,2,10,1
10,23,,40.0,extension only,real,3,20,1,1,11.803,2,1,2,20,1
10,24,,-25.0,extension only,real,3,-10,1,1,8.844,2,1,2,-10,1
10,25,,40.0,extension only,virtual,4,20,56,95,62.984,1,2,2,20,73
10,26,,-40.0,extension only,virtual,4,-20,-25,-9,72.255,2,2,1,-20,-15 *
10,27,,25.0,extension only,virtual,4,10,22,46,58.105,2,2,1,10,36
10,28,,-25.0,extension only,virtual,4,-10,-12,-3,57.269,2,2,1,-10,-6
10,29,,-40.0,extension only,virtual,4,-20,-56,-40,57.971,1,2,2,-20,-45
10,30,,-25.0,extension only,virtual,4,-10,-22,-13,50.132,2,2,2,-10,-17 *
10,31,,40.0,extension only,virtual,4,20,51,92,66.631,2,2,2,20,73
10,32,,25.0,extension only,virtual,4,10,29,76,177.147,1,2,2,10,41
10,33,-20.0,-40.0,both,virtual,5,-20,1,1,29.785,3,1,1,-20,-21
10,34,-10.0,-25.0,both,virtual,5,-10,,,,3,1,1,-10,
10,35,10.0,25.0,both,virtual,5,10,,,,3,1,1,10,
10,36,20.0,40.0,both,virtual,5,20,,,,3,1,1,20,
10,37,-10.0,-25.0,both,virtual,5,-10,,,,3,1,2,-10,
10,38,10.0,25.0,both,virtual,5,10,,,,3,1,2,10,
10,39,-20.0,-40.0,both,virtual,5,-20,,,,3,1,2,-20,
10,40,20.0,40.0,both,virtual,5,20,,,,3,1,2,20,
10,41,10.0,25.0,both,real,6,10,,,,3,2,1,10,
10,42,-20.0,-40.0,both,real,6,-20,,,,3,2,1,-20,
10,43,-10.0,-25.0,both,real,6,-10,,,,3,2,1,-10,
10,44,20.0,40.0,both,real,6,20,,,,3,2,1,20,
10,45,20.0,40.0,both,real,6,20,,,,3,2,2,20,
10,46,10.0,25.0,both,real,6,10,,,,3,2,2,10,
10,47,-10.0,-25.0,both,real,6,-10,,,,3,2,2,-10,
10,48,-20.0,-40.0,both,real,6,-20,,,,3,2,2,-20,
,,,,,,,,,,,,,,,
姿,,,,,,,,,,,,,,,
