UserID,Trial_no,ab_ad_angle,ex_angle,Method,ObjectType,Block,Size Change(%),lowerbound,upperbound,duration,MethodBlock,ObjectBlock,Repetition,AngleChange,best
3,1,20.0,,inter-finger only,virtual,1,20,5,20,235.503,1,1,1,20,22
3,2,-20.0,,inter-finger only,virtual,1,-20,-43,-13,104.198,1,1,1,-20,-15
3,3,10.0,,inter-finger only,virtual,1,10,1,15,63.229,1,1,1,10,6
3,4,-10.0,,inter-finger only,virtual,1,-10,-21,-10,78.199,1,1,1,-10,-5
3,5,-20.0,,inter-finger only,virtual,1,-20,-69,-12,82.339,1,1,2,-20,-30
3,6,20.0,,inter-finger only,virtual,1,20,12,36,72.533,1,1,2,20,11
3,7,10.0,,inter-finger only,virtual,1,10,1,11,61.021,1,1,2,10,3
3,8,-10.0,,inter-finger only,virtual,1,-10,1.0,1.0,16.139,1,1,2,-10,1.0
3,9,10.0,,inter-finger only,real,2,10,1.0,1.0,28.562,1,2,1,10,1.0
3,10,20.0,,inter-finger only,real,2,20,10,22,89.183,1,2,1,20,15
3,11,-10.0,,inter-finger only,real,2,-10,-6,-2,54.216,1,2,1,-10,-3
3,12,-20.0,,inter-finger only,real,2,-20,-32,-11,85.42,1,2,1,-20,-12
3,13,-10.0,,inter-finger only,real,2,-10,-8,-3,59.52,1,2,2,-10,-4
3,14,10.0,,inter-finger only,real,2,10,3,11,66.727,1,2,2,10,6
3,15,-20.0,,inter-finger only,real,2,-20,-45,-11,52.355,1,2,2,-20,-19
3,16,20.0,,inter-finger only,real,2,20,22,33,67.977,1,2,2,20,21
3,17,10.0,25.0,both,real,3,10,5,12,205.166,2,1,1,10,7
3,18,-20.0,-40.0,both,real,3,-20,-50,-29,105.886,2,1,1,-20,-24
3,19,-10.0,-25.0,both,real,3,-10,-13,-5,49.928,2,1,1,-10,-8
3,20,20.0,40.0,both,real,3,20,11,38,77.717,2,1,1,20,23
3,21,10.0,25.0,both,real,3,10,7,23,52.29,2,1,2,10,13
3,22,20.0,40.0,both,real,3,20,7,19,54.344,2,1,2,20,16
3,23,-10.0,-25.0,both,real,3,-10,-9,-5,68.4,2,1,2,-10,-9
3,24,-20.0,-40.0,both,real,3,-20,-54,-34,44.665,2,1,2,-20,-49
3,25,20.0,40.0,both,virtual,4,20,11,61,81.386,2,2,1,20,21
3,26,-20.0,-40.0,both,virtual,4,-20,-40,-14,63.638,2,2,1,-20,-24
3,27,10.0,25.0,both,virtual,4,10,5,16,45.734,2,2,1,10,6
3,28,-10.0,-25.0,both,virtual,4,-10,-19,-5,39.915,2,2,1,-10,-14
3,29,20.0,40.0,both,virtual,4,20,9,36,34.069,2,2,2,20,21
3,30,-10.0,-25.0,both,virtual,4,-10,-39,-11,43.248,2,2,2,-10,-19
3,31,10.0,25.0,both,virtual,4,10,2,11,38.456,2,2,2,10,6
3,32,-20.0,-40.0,both,virtual,4,-20,-59,-36,51.303,2,2,2,-20,-39
3,33,,40.0,extension only,virtual,5,20,17,29,107.248,3,1,1,20,21
3,34,,-25.0,extension only,virtual,5,-10,-12,-5,51.149,3,1,1,-10,-9
3,35,,-40.0,extension only,virtual,5,-20,-18,-20,53.135,3,1,1,-20,-10
3,36,,25.0,extension only,virtual,5,10,6,17,51.915,3,1,1,10,6
3,37,,40.0,extension only,virtual,5,20,15,31,43.359,3,1,2,20,21
3,38,,25.0,extension only,virtual,5,10,13,25,32.527,3,1,2,10,21
3,39,,-25.0,extension only,virtual,5,-10,-15,-1,33.511,3,1,2,-10,-6
3,40,,-40.0,extension only,virtual,5,-20,-30,-22,43.026,3,1,2,-20,-24
3,41,,25.0,extension only,real,6,10,7,22,58.012,3,2,1,10,14
3,42,,-25.0,extension only,real,6,-10,-14,0,130.443,3,2,1,-10,-8
3,43,,40.0,extension only,real,6,20,5,19,37.36,3,2,1,20,7
3,44,,-40.0,extension only,real,6,-20,1,1,15.704,3,2,1,-20,1
3,45,,40.0,extension only,real,6,20,17,21,72.942,3,2,2,20,21
3,46,,25.0,extension only,real,6,10,3,10,29.595,3,2,2,10,4
3,47,,-40.0,extension only,real,6,-20,1,1,18.137,3,2,2,-20,1
3,48,,-25.0,extension only,real,6,-10,1,1,11.805,3,2,2,-10,1

cc
