UserID,Trial_no,ab_ad_angle,ex_angle,Method,ObjectType,Block,Size Change(%),lowerbound,upperbound,duration,MethodBlock,ObjectBlock,Repetition,AngleChange,best
6,1,,3.0,extension only,virtual,1,10,29,29,48.232,1,1,1,10,29
6,2,,10.0,extension only,virtual,1,20,62,62,42.845,1,1,1,20,62
6,3,,-10.0,extension only,virtual,1,-20,-12,-12,39.082,1,1,1,-20,-12
6,4,,-3.0,extension only,virtual,1,-10,-17,-17,37.982,1,1,1,-10,-17
6,5,,-10.0,extension only,virtual,1,-20,-28,-28,62.248,1,1,2,-20,-28
6,6,,3.0,extension only,virtual,1,10,39,39,81.04,1,1,2,10,39
6,7,,-3.0,extension only,virtual,1,-10,-29,-29,29.9,1,1,2,-10,-29
6,8,,10.0,extension only,virtual,1,20,71,71,41.592,1,1,2,20,71
6,9,,-3.0,extension only,real,2,-10,1,1,41.389,1,2,1,-10,1
6,10,,10.0,extension only,real,2,20,66,66,,1,2,1,20,66
6,11,,3.0,extension only,real,2,10,16,16,33.038,1,2,1,10,16
6,12,,-10.0,extension only,real,2,-20,-3,-3,36.373,1,2,1,-20,-3
6,13,,10.0,extension only,real,2,20,56,56,77.69,1,2,2,20,56
6,14,,-3.0,extension only,real,2,-10,-4,-4,120.508,1,2,2,-10,-4
6,15,,3.0,extension only,real,2,10,26,26,22.693,1,2,2,10,26
6,16,,-10.0,extension only,real,2,-20,0,0,33.804,1,2,2,-20,0
6,17,-20.0,-10.0,both,real,3,-20,,,,2,1,1,-20,
6,18,20.0,10.0,both,real,3,20,,,,2,1,1,20,
6,19,-10.0,-3.0,both,real,3,-10,,,,2,1,1,-10,
6,20,10.0,3.0,both,real,3,10,,,,2,1,1,10,
6,21,10.0,3.0,both,real,3,10,,,,2,1,2,10,
6,22,-20.0,-10.0,both,real,3,-20,,,,2,1,2,-20,
6,23,20.0,10.0,both,real,3,20,,,,2,1,2,20,
6,24,-10.0,-3.0,both,real,3,-10,,,,2,1,2,-10,
6,3,20.0,10.0,both,virtual,4,20,,,,2,2,1,20,
6,26,10.0,3.0,both,virtual,4,10,,,,2,2,1,10,
6,27,-10.0,-3.0,both,virtual,4,-10,,,,2,2,1,-10,
6,28,-20.0,-10.0,both,virtual,4,-20,,,,2,2,1,-20,
6,29,-10.0,-3.0,both,virtual,4,-10,,,,2,2,2,-10,
6,30,20.0,10.0,both,virtual,4,20,,,,2,2,2,20,
6,31,-20.0,-10.0,both,virtual,4,-20,,,,2,2,2,-20,
6,32,10.0,3.0,both,virtual,4,10,,,,2,2,2,10,
6,33,20.0,,inter-finger only,virtual,5,20,46,46,22.579,3,1,1,20,46
6,34,-20.0,,inter-finger only,virtual,5,-20,-14,-14,57.161,3,1,1,-20,-14
6,35,10.0,,inter-finger only,virtual,5,10,14,14,35.718,3,1,1,10,14
6,36,-10.0,,inter-finger only,virtual,5,-10,-11,-11,24.771,3,1,1,-10,-11
6,37,-10.0,,inter-finger only,virtual,5,-10,-22,-22,24.954,3,1,2,-10,-22
6,38,-20.0,,inter-finger only,virtual,5,-20,-16,-16,25.76,3,1,2,-20,-16
6,39,10.0,,inter-finger only,virtual,5,10,18,18,49.213,3,1,2,10,18
6,10,20.0,,inter-finger only,virtual,5,20,36,36,21.219,3,1,2,20,36
6,41,-10.0,,inter-finger only,real,6,-10,-7,-7,36.328,3,2,1,-10,-7
6,42,10.0,,inter-finger only,real,6,10,19,19,25.496,3,2,1,10,19
6,43,-20.0,,inter-finger only,real,6,-20,-26,-26,30.301,3,2,1,-20,-26
6,44,20.0,,inter-finger only,real,6,20,46,46,28.218,3,2,1,20,46
6,45,-20.0,,inter-finger only,real,6,-20,-21,-21,32.899,3,2,2,-20,-21
6,46,10.0,,inter-finger only,real,6,10,14,14,26.01,3,2,2,10,14
6,47,20.0,,inter-finger only,real,6,20,46,46,32.777,3,2,2,20,46
6,48,-10.0,,inter-finger only,real,6,-10,-10,-10,,3,2,2,-10,-10
